Ta hand om barnen,Flickor,SVF,.053826269,.038267709,.069384821
Ta hand om barnen,Flickor,Gen 2,.10905109,.067013383,.15108879
Ta hand om barnen,Flickor,Gen 1,.25341672,.17182012,.3350133
Ta hand om barnen,Pojkar,SVF,.15988398,.13463773,.18513022
Ta hand om barnen,Pojkar,Gen 2,.25846422,.20810473,.3088237
Ta hand om barnen,Pojkar,Gen 1,.39118385,.32465532,.45771235
Laga mat,Flickor,SVF,.108943,.086348496,.13153751
Laga mat,Flickor,Gen 2,.36317623,.31231841,.41403404
Laga mat,Flickor,Gen 1,.43743825,.34348363,.53139287
Laga mat,Pojkar,SVF,.25377908,.22766376,.27989438
Laga mat,Pojkar,Gen 2,.49859393,.43876493,.55842292
Laga mat,Pojkar,Gen 1,.6358785,.52583218,.74592483
Tjäna pengar,Flickor,SVF,.10403147,.085203752,.12285917
Tjäna pengar,Flickor,Gen 2,.2513074,.2020546,.30056018
Tjäna pengar,Flickor,Gen 1,.35204285,.2539677,.45011798
Tjäna pengar,Pojkar,SVF,.26863459,.232641,.30462816
Tjäna pengar,Pojkar,Gen 2,.42998636,.3673701,.49260262
Tjäna pengar,Pojkar,Gen 1,.52818727,.44602424,.61035031
Städa hemmet,Flickor,SVF,.097281754,.076795571,.11776794
Städa hemmet,Flickor,Gen 2,.24862164,.2007103,.29653299
Städa hemmet,Flickor,Gen 1,.29741448,.22949141,.36533755
Städa hemmet,Pojkar,SVF,.28650782,.25465429,.31836134
Städa hemmet,Pojkar,Gen 2,.35112059,.29277238,.4094688
Städa hemmet,Pojkar,Gen 1,.43496728,.35055834,.51937622
