Familjeatmosfär,SVF,Flickor,.72616959,.70964336,.74269581
Familjeatmosfär,SVF,Pojkar,.74918938,.73593247,.76244634
Familjeatmosfär,Gen 2,Flickor,.78855246,.75717813,.8199268
Familjeatmosfär,Gen 2,Pojkar,.79987121,.77078891,.82895356
Familjeatmosfär,Gen 1,Flickor,.76177728,.72717923,.79637527
Familjeatmosfär,Gen 1,Pojkar,.79826361,.75728554,.83924168
Föräldrarnas skolengagemang,SVF,Flickor,.84428585,.82958752,.85898417
Föräldrarnas skolengagemang,SVF,Pojkar,.85281265,.84121031,.86441493
Föräldrarnas skolengagemang,Gen 2,Flickor,.88773483,.86589974,.90956998
Föräldrarnas skolengagemang,Gen 2,Pojkar,.88666356,.86539531,.90793175
Föräldrarnas skolengagemang,Gen 1,Flickor,.83253521,.79827636,.86679405
Föräldrarnas skolengagemang,Gen 1,Pojkar,.86145639,.82811552,.89479727
Föräldrarnas kontroll,SVF,Flickor,.45814928,.44359294,.47270563
Föräldrarnas kontroll,SVF,Pojkar,.4452858,.42757654,.46299502
Föräldrarnas kontroll,Gen 2,Flickor,.51557159,.48239258,.5487507
Föräldrarnas kontroll,Gen 2,Pojkar,.49094784,.4618153,.52008045
Föräldrarnas kontroll,Gen 1,Flickor,.49958679,.45444891,.54472464
Föräldrarnas kontroll,Gen 1,Pojkar,.49511263,.42469677,.56552851
Sträng uppfostran,SVF,Flickor,.27208254,.25824288,.2859222
Sträng uppfostran,SVF,Pojkar,.31293544,.30134246,.32452846
Sträng uppfostran,Gen 2,Flickor,.24217005,.21866558,.2656745
Sträng uppfostran,Gen 2,Pojkar,.30910373,.280884,.33732349
Sträng uppfostran,Gen 1,Flickor,.27710298,.24610704,.30809891
Sträng uppfostran,Gen 1,Pojkar,.28696576,.21415047,.35978106
Varm uppfostran,SVF,Flickor,.81853169,.80064577,.83641762
Varm uppfostran,SVF,Pojkar,.83234334,.82042825,.84425843
Varm uppfostran,Gen 2,Flickor,.83855331,.80824399,.86886257
Varm uppfostran,Gen 2,Pojkar,.8563177,.83093506,.88170034
Varm uppfostran,Gen 1,Flickor,.83166778,.80254412,.86079144
Varm uppfostran,Gen 1,Pojkar,.81748587,.76854229,.86642939
