"Familjeatmosfär","SVF",.7377886,.7273963,.7481809
"Familjeatmosfär","Gen 2",.7942598,.7723919,.8161277
"Familjeatmosfär","Gen 1",.7795232,.7500062,.8090401
"Föräldrarnas skolengagemang","SVF",.8485897,.8380875,.8590918
"Föräldrarnas skolengagemang","Gen 2",.8871946,.8714401,.9029492
"Föräldrarnas skolengagemang","Gen 1",.8466017,.8176797,.8755236
"Föräldrarnas kontroll","SVF",.4516566,.439492,.4638211
"Föräldrarnas kontroll","Gen 2",.5031554,.4824458,.5238649
"Föräldrarnas kontroll","Gen 1",.4974107,.4414335,.5533878
"Sträng uppfostran","SVF",.2927026,.2829394,.3024658
"Sträng uppfostran","Gen 2",.2759207,.2562928,.2955485
"Sträng uppfostran","Gen 1",.2819,.2388336,.3249663
"Varm uppfostran","SVF",.825503,.8138658,.8371401
"Varm uppfostran","Gen 2",.8475108,.8265671,.8684546
"Varm uppfostran","Gen 1",.8247701,.795964,.8535762
