"Östeuropa","Gen 2","Mycket dålig / Dålig",.0128727,-.0015655,.027311
"Östeuropa","Gen 2","Ungefär lika",.2034598,.1420591,.2648605
"Östeuropa","Gen 2","Bra",.4088543,.3374679,.4802407
"Östeuropa","Gen 2","Mycket bra",.3748132,.3078596,.4417668
"Östeuropa","Gen 1","Mycket dålig / Dålig",.0300649,-.0154445,.0755742
"Östeuropa","Gen 1","Ungefär lika",.1361818,.0234284,.2489353
"Östeuropa","Gen 1","Bra",.3181543,.1698458,.4664628
"Östeuropa","Gen 1","Mycket bra",.515599,.3594733,.6717247
"MENA+","Gen 2","Mycket dålig / Dålig",.045314,.0210304,.0695976
"MENA+","Gen 2","Ungefär lika",.1780203,.137973,.2180676
"MENA+","Gen 2","Bra",.3592929,.2998282,.4187576
"MENA+","Gen 2","Mycket bra",.4173728,.3493717,.4853739
"MENA+","Gen 1","Mycket dålig / Dålig",.0249162,-.0053373,.0551697
"MENA+","Gen 1","Ungefär lika",.1772389,.0970009,.257477
"MENA+","Gen 1","Bra",.2999759,.1879284,.4120233
"MENA+","Gen 1","Mycket bra",.497869,.3712104,.6245276
"VSÖ Afrika","Gen 2","Mycket dålig / Dålig",.0243907,-.0013532,.0501346
"VSÖ Afrika","Gen 2","Ungefär lika",.1737804,.0778928,.2696679
"VSÖ Afrika","Gen 2","Bra",.352603,.2546196,.4505863
"VSÖ Afrika","Gen 2","Mycket bra",.449226,.3522012,.5462508
"VSÖ Afrika","Gen 1","Mycket dålig / Dålig",8.20e-09,-1.07e-08,2.71e-08
"VSÖ Afrika","Gen 1","Ungefär lika",.1250318,-.0288776,.2789413
"VSÖ Afrika","Gen 1","Bra",.452534,.1744659,.7306022
"VSÖ Afrika","Gen 1","Mycket bra",.4224341,.1449155,.6999527
"Asien","Gen 2","Mycket dålig / Dålig",.0253089,-.0026278,.0532456
"Asien","Gen 2","Ungefär lika",.2610246,.1159444,.4061047
"Asien","Gen 2","Bra",.3963452,.2416061,.5510843
"Asien","Gen 2","Mycket bra",.3173214,.1843772,.4502655
"Asien","Gen 1","Mycket dålig / Dålig",.0446625,-.1620859,.2514109
"Asien","Gen 1","Ungefär lika",.2024122,-.0179058,.4227301
"Asien","Gen 1","Bra",.442279,.120097,.7644609
"Asien","Gen 1","Mycket bra",.3106464,.0564169,.5648758
