"Ta hand om barnen","SVF",.1073578,.0920376,.1226781
"Ta hand om barnen","Gen 2",.1843911,.1513585,.2174238
"Ta hand om barnen","Gen 1",.3204226,.2693357,.3715096
"Laga mat","SVF",.1820475,.1641714,.1999237
"Laga mat","Gen 2",.4314592,.3939812,.4689372
"Laga mat","Gen 1",.5339538,.4686013,.5993063
"Tjäna pengar","SVF",.1871132,.165863,.2083634
"Tjäna pengar","Gen 2",.3414045,.3036585,.3791504
"Tjäna pengar","Gen 1",.4377144,.3732371,.5021917
"Städa hemmet","SVF",.1927917,.1730563,.2125271
"Städa hemmet","Gen 2",.3003057,.2621219,.3384895
"Städa hemmet","Gen 1",.3643162,.3093682,.4192641
