"Försvara fru och barn","Flickor","SVF",.3034574,.2743965,.3325183
"Försvara fru och barn","Flickor","Gen 2",.3561388,.2962919,.4159857
"Försvara fru och barn","Flickor","Gen 1",.3721973,.2687003,.4756944
"Försvara fru och barn","Pojkar","SVF",.6509147,.6236324,.6781968
"Försvara fru och barn","Pojkar","Gen 2",.7460073,.6985774,.7934371
"Försvara fru och barn","Pojkar","Gen 1",.6418213,.5631034,.7205392
"Mot förolämpningar","Flickor","SVF",.0194382,.0129892,.0258872
"Mot förolämpningar","Flickor","Gen 2",.0767811,.0491442,.104418
"Mot förolämpningar","Flickor","Gen 1",.0927246,.0461078,.1393414
"Mot förolämpningar","Pojkar","SVF",.1459906,.1215342,.170447
"Mot förolämpningar","Pojkar","Gen 2",.238268,.1784238,.2981122
"Mot förolämpningar","Pojkar","Gen 1",.2226572,.1264098,.3189046
"Om ngn talar illa om familj","Flickor","SVF",.0407231,.0302767,.0511696
"Om ngn talar illa om familj","Flickor","Gen 2",.1152954,.0764004,.1541905
"Om ngn talar illa om familj","Flickor","Gen 1",.1907448,.1312335,.2502561
"Om ngn talar illa om familj","Pojkar","SVF",.2070282,.1757334,.2383229
"Om ngn talar illa om familj","Pojkar","Gen 2",.3197508,.2560498,.3834518
"Om ngn talar illa om familj","Pojkar","Gen 1",.339202,.2134148,.4649892
