"Försvara fru och barn","Flickor","Sverige",.3034574,.2743837,.3325311
"Försvara fru och barn","Flickor","NVS Europa",.5008013,.30667,.6949327
"Försvara fru och barn","Flickor","Östeuropa",.3377855,.2500042,.4255667
"Försvara fru och barn","Flickor","MENA+",.365771,.2966962,.4348457
"Försvara fru och barn","Flickor","VSÖ Afrika",.4951942,.3434752,.6469132
"Försvara fru och barn","Flickor","Asien",.3077527,.1291848,.4863206
"Försvara fru och barn","Pojkar","Sverige",.6509147,.6236182,.6782111
"Försvara fru och barn","Pojkar","NVS Europa",.6572006,.3652479,.9491532
"Försvara fru och barn","Pojkar","Östeuropa",.6749691,.5934306,.7565075
"Försvara fru och barn","Pojkar","MENA+",.7347896,.6825399,.7870392
"Försvara fru och barn","Pojkar","VSÖ Afrika",.6911469,.5561837,.82611
"Försvara fru och barn","Pojkar","Asien",.6214826,.4585629,.7844024
"Mot förolämpningar","Flickor","Sverige",.0194382,.012986,.0258904
"Mot förolämpningar","Flickor","NVS Europa",.0765723,-.028924,.1820686
"Mot förolämpningar","Flickor","Östeuropa",.0832399,.0384009,.1280788
"Mot förolämpningar","Flickor","MENA+",.0915033,.0519443,.1310622
"Mot förolämpningar","Flickor","VSÖ Afrika",.0935089,-.020939,.2079569
"Mot förolämpningar","Flickor","Asien",.0578444,-.0028333,.1185221
"Mot förolämpningar","Pojkar","Sverige",.1459906,.1215243,.1704569
"Mot förolämpningar","Pojkar","NVS Europa",.0956045,-.0117956,.2030046
"Mot förolämpningar","Pojkar","Östeuropa",.1629181,.0880855,.2377507
"Mot förolämpningar","Pojkar","MENA+",.3012981,.2324125,.3701838
"Mot förolämpningar","Pojkar","VSÖ Afrika",.2543764,.1642793,.3444736
"Mot förolämpningar","Pojkar","Asien",.1984022,.0556052,.3411992
"Om ngn talar illa om familj","Flickor","Sverige",.0407231,.0302718,.0511745
"Om ngn talar illa om familj","Flickor","NVS Europa",.1262307,-.0328561,.2853175
"Om ngn talar illa om familj","Flickor","Östeuropa",.1389488,.0860899,.1918077
"Om ngn talar illa om familj","Flickor","MENA+",.1540105,.0753542,.2326668
"Om ngn talar illa om familj","Flickor","VSÖ Afrika",.209139,.068609,.3496691
"Om ngn talar illa om familj","Flickor","Asien",.0878188,.0118809,.1637567
"Om ngn talar illa om familj","Pojkar","Sverige",.2070282,.1757209,.2383354
"Om ngn talar illa om familj","Pojkar","NVS Europa",.1697636,.0253935,.3141338
"Om ngn talar illa om familj","Pojkar","Östeuropa",.2812673,.1946742,.3678604
"Om ngn talar illa om familj","Pojkar","MENA+",.3802545,.3190612,.4414477
"Om ngn talar illa om familj","Pojkar","VSÖ Afrika",.4338645,.090032,.777697
"Om ngn talar illa om familj","Pojkar","Asien",.2366415,.1205088,.3527742
