"Internetdiskussion","SVF",.2538917,-3.083767,3.591551
"Internetdiskussion","Gen 2",.3085002,-1.141087,1.758087
"Internetdiskussion","Gen 1",.3027352,-.2788367,.8843072
"Partimöte","SVF",.0656543,-25.32265,25.45395
"Partimöte","Gen 2",.0996467,-.5506118,.7499052
"Partimöte","Gen 1",.0814983,-.4031771,.5661736
"Pins/märken","SVF",.0544086,.0408518,.0679655
"Pins/märken","Gen 2",.0559607,.0402698,.0716517
"Pins/märken","Gen 1",.0564297,.0328834,.0799759
"Demonstration","SVF",.1234543,-98390.02,98390.26
"Demonstration","Gen 2",.1624627,-6.93138,7.256305
"Demonstration","Gen 1",.1241848,-5.464084,5.712454
