
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="15",="15",="15",="15",="15",="15"

="andel (%) med utländsk bakgrund i åk8",="-0.00",="-0.00",="-0.00",="0.00",="0.00",="0.00*"
="",="(0.00)",="(0.00)",="(0.00)",="(0.00)",="(0.00)",="(0.00)"

="SVF",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="Gen 2",="-0.04",="0.01",="-0.08",="0.15",="0.27",="-0.05"
="",="(0.03)",="(0.03)",="(0.08)",="(0.13)",="(0.14)",="(0.13)"

="Gen 1",="-0.01",="0.06",="-0.07",="0.07",="0.21",="0.07"
="",="(0.05)",="(0.04)",="(0.12)",="(0.13)",="(0.14)",="(0.29)"

="Flickor",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="Pojkar",="-0.09***",="-0.10***",="-0.11***",="-0.04",="0.01",="-0.03"
="",="(0.02)",="(0.03)",="(0.03)",="(0.03)",="(0.07)",="(0.08)"

="SVF # Flickor",="0.00",="",="0.00",="0.00",="",="0.00"
="",="(.)",="",="(.)",="(.)",="",="(.)"

="SVF # Pojkar",="0.00",="",="0.00",="0.00",="",="0.00"
="",="(.)",="",="(.)",="(.)",="",="(.)"

="Gen 2 # Flickor",="0.00",="",="0.00",="0.00",="",="0.00"
="",="(.)",="",="(.)",="(.)",="",="(.)"

="Gen 2 # Pojkar",="0.08**",="",="0.13",="0.25**",="",="0.73***"
="",="(0.04)",="",="(0.12)",="(0.11)",="",="(0.20)"

="Gen 1 # Flickor",="0.00",="",="0.00",="0.00",="",="0.00"
="",="(.)",="",="(.)",="(.)",="",="(.)"

="Gen 1 # Pojkar",="0.15**",="",="0.14",="0.27*",="",="0.22"
="",="(0.07)",="",="(0.16)",="(0.15)",="",="(0.33)"

="Ingen",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="Kristen",="-0.01",="-0.03",="-0.03",="-0.02",="-0.01",="-0.01"
="",="(0.01)",="(0.03)",="(0.03)",="(0.04)",="(0.04)",="(0.05)"

="Muslim",="-0.04",="-0.11**",="-0.07",="-0.13",="-0.17",="0.24"
="",="(0.03)",="(0.04)",="(0.11)",="(0.08)",="(0.14)",="(0.26)"

="Annan",="-0.00",="-0.04",="0.08",="-0.09",="-0.16*",="-0.07"
="",="(0.05)",="(0.09)",="(0.13)",="(0.10)",="(0.09)",="(0.11)"

="Flickor # Ingen",="",="0.00",="0.00",="",="0.00",="0.00"
="",="",="(.)",="(.)",="",="(.)",="(.)"

="Flickor # Kristen",="",="0.00",="0.00",="",="0.00",="0.00"
="",="",="(.)",="(.)",="",="(.)",="(.)"

="Flickor # Muslim",="",="0.00",="0.00",="",="0.00",="0.00"
="",="",="(.)",="(.)",="",="(.)",="(.)"

="Flickor # Annan",="",="0.00",="0.00",="",="0.00",="0.00"
="",="",="(.)",="(.)",="",="(.)",="(.)"

="Pojkar # Ingen",="",="0.00",="0.00",="",="0.00",="0.00"
="",="",="(.)",="(.)",="",="(.)",="(.)"

="Pojkar # Kristen",="",="0.04",="0.04",="",="-0.01",="-0.01"
="",="",="(0.04)",="(0.04)",="",="(0.08)",="(0.10)"

="Pojkar # Muslim",="",="0.14***",="0.17",="",="0.08",="-0.33"
="",="",="(0.05)",="(0.17)",="",="(0.16)",="(0.29)"

="Pojkar # Annan",="",="0.06",="-0.09",="",="0.14",="0.18"
="",="",="(0.10)",="(0.13)",="",="(0.18)",="(0.21)"

="SVF # Ingen",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="SVF # Kristen",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="SVF # Muslim",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="SVF # Annan",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="Gen 2 # Ingen",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="Gen 2 # Kristen",="",="",="0.11",="",="",="0.22"
="",="",="",="(0.09)",="",="",="(0.25)"

="Gen 2 # Muslim",="",="",="0.04",="",="",="-0.09"
="",="",="",="(0.14)",="",="",="(0.34)"

="Gen 2 # Annan",="",="",="-0.07",="",="",="-0.04"
="",="",="",="(0.18)",="",="",="(0.21)"

="Gen 1 # Ingen",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="Gen 1 # Kristen",="",="",="0.10",="",="",="0.01"
="",="",="",="(0.14)",="",="",="(0.23)"

="Gen 1 # Muslim",="",="",="0.07",="",="",="-0.36"
="",="",="",="(0.21)",="",="",="(0.33)"

="Gen 1 # Annan",="",="",="-0.17",="",="",="-0.20"
="",="",="",="(0.18)",="",="",="(0.34)"

="SVF # Flickor # Ingen",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="SVF # Flickor # Kristen",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="SVF # Flickor # Muslim",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="SVF # Flickor # Annan",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="SVF # Pojkar # Ingen",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="SVF # Pojkar # Kristen",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="SVF # Pojkar # Muslim",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="SVF # Pojkar # Annan",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="Gen 2 # Flickor # Ingen",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="Gen 2 # Flickor # Kristen",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="Gen 2 # Flickor # Muslim",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="Gen 2 # Flickor # Annan",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="Gen 2 # Pojkar # Ingen",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="Gen 2 # Pojkar # Kristen",="",="",="-0.13",="",="",="-0.52"
="",="",="",="(0.14)",="",="",="(0.32)"

="Gen 2 # Pojkar # Muslim",="",="",="-0.18",="",="",="-0.30"
="",="",="",="(0.22)",="",="",="(0.38)"

="Gen 2 # Pojkar # Annan",="",="",="0.21",="",="",="-0.58"
="",="",="",="(0.21)",="",="",="(0.36)"

="Gen 1 # Flickor # Ingen",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="Gen 1 # Flickor # Kristen",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="Gen 1 # Flickor # Muslim",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="Gen 1 # Flickor # Annan",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="Gen 1 # Pojkar # Ingen",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="Gen 1 # Pojkar # Kristen",="",="",="-0.04",="",="",="0.17"
="",="",="",="(0.20)",="",="",="(0.44)"

="Gen 1 # Pojkar # Muslim",="",="",="-0.13",="",="",="0.30"
="",="",="",="(0.27)",="",="",="(0.41)"

="Gen 1 # Pojkar # Annan",="",="",="0.17",="",="",="-0.20"
="",="",="",="(0.21)",="",="",="(0.37)"

="Constant",="0.26***",="0.27***",="0.28***",="0.19**",="0.18***",="0.19***"
="",="(0.02)",="(0.02)",="(0.03)",="(0.06)",="(0.05)",="(0.05)"

="Observations",="5428",="5428",="5428",=".",=".",="."
="R-squared",=".",=".",=".",=".",=".",="."

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
