
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="15",="15",="15",="15",="15",="15"

="andel (%) med utländsk bakgrund i åk8",="-0.00",="-0.00",="-0.00",="0.00*",="0.00*",="0.00**"
="",="(0.00)",="(0.00)",="(0.00)",="(0.00)",="(0.00)",="(0.00)"

="SVF",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="Gen 2",="-0.04",="-0.00",="-0.08",="0.09",="0.22**",="-0.08"
="",="(0.03)",="(0.03)",="(0.07)",="(0.11)",="(0.10)",="(0.15)"

="Gen 1",="-0.06",="0.03",="-0.13",="0.09",="0.16",="0.47**"
="",="(0.04)",="(0.03)",="(0.08)",="(0.13)",="(0.10)",="(0.19)"

="Flickor",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="Pojkar",="-0.10***",="-0.11***",="-0.12***",="-0.04",="-0.00",="-0.05"
="",="(0.02)",="(0.03)",="(0.03)",="(0.03)",="(0.06)",="(0.06)"

="SVF # Flickor",="0.00",="",="0.00",="0.00",="",="0.00"
="",="(.)",="",="(.)",="(.)",="",="(.)"

="SVF # Pojkar",="0.00",="",="0.00",="0.00",="",="0.00"
="",="(.)",="",="(.)",="(.)",="",="(.)"

="Gen 2 # Flickor",="0.00",="",="0.00",="0.00",="",="0.00"
="",="(.)",="",="(.)",="(.)",="",="(.)"

="Gen 2 # Pojkar",="0.07",="",="0.15",="0.32**",="",="0.86***"
="",="(0.04)",="",="(0.14)",="(0.14)",="",="(0.16)"

="Gen 1 # Flickor",="0.00",="",="0.00",="0.00",="",="0.00"
="",="(.)",="",="(.)",="(.)",="",="(.)"

="Gen 1 # Pojkar",="0.17***",="",="0.25*",="0.13",="",="-0.23"
="",="(0.06)",="",="(0.15)",="(0.16)",="",="(0.34)"

="Ingen",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="Kristen",="-0.00",="-0.01",="-0.02",="-0.04",="-0.03",="-0.03"
="",="(0.01)",="(0.03)",="(0.03)",="(0.04)",="(0.05)",="(0.05)"

="Muslim",="-0.03",="-0.10**",="-0.08",="-0.14",="-0.20*",="0.03"
="",="(0.03)",="(0.04)",="(0.10)",="(0.10)",="(0.11)",="(0.23)"

="Annan",="0.01",="-0.06",="0.04",="-0.09",="-0.18*",="-0.04"
="",="(0.04)",="(0.07)",="(0.13)",="(0.11)",="(0.10)",="(0.14)"

="Flickor # Ingen",="",="0.00",="0.00",="",="0.00",="0.00"
="",="",="(.)",="(.)",="",="(.)",="(.)"

="Flickor # Kristen",="",="0.00",="0.00",="",="0.00",="0.00"
="",="",="(.)",="(.)",="",="(.)",="(.)"

="Flickor # Muslim",="",="0.00",="0.00",="",="0.00",="0.00"
="",="",="(.)",="(.)",="",="(.)",="(.)"

="Flickor # Annan",="",="0.00",="0.00",="",="0.00",="0.00"
="",="",="(.)",="(.)",="",="(.)",="(.)"

="Pojkar # Ingen",="",="0.00",="0.00",="",="0.00",="0.00"
="",="",="(.)",="(.)",="",="(.)",="(.)"

="Pojkar # Kristen",="",="0.01",="0.03",="",="-0.03",="0.00"
="",="",="(0.04)",="(0.04)",="",="(0.08)",="(0.08)"

="Pojkar # Muslim",="",="0.14***",="0.18",="",="0.12",="-0.16"
="",="",="(0.05)",="(0.16)",="",="(0.13)",="(0.25)"

="Pojkar # Annan",="",="0.10",="-0.05",="",="0.15",="0.21"
="",="",="(0.08)",="(0.14)",="",="(0.17)",="(0.24)"

="SVF # Ingen",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="SVF # Kristen",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="SVF # Muslim",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="SVF # Annan",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="Gen 2 # Ingen",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="Gen 2 # Kristen",="",="",="0.10",="",="",="0.19"
="",="",="",="(0.08)",="",="",="(0.22)"

="Gen 2 # Muslim",="",="",="0.05",="",="",="0.03"
="",="",="",="(0.12)",="",="",="(0.30)"

="Gen 2 # Annan",="",="",="-0.04",="",="",="-0.15"
="",="",="",="(0.19)",="",="",="(0.20)"

="Gen 1 # Ingen",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="Gen 1 # Kristen",="",="",="0.14",="",="",="-0.38"
="",="",="",="(0.11)",="",="",="(0.26)"

="Gen 1 # Muslim",="",="",="0.12",="",="",="-0.57*"
="",="",="",="(0.13)",="",="",="(0.32)"

="Gen 1 # Annan",="",="",="-0.07",="",="",="-0.68***"
="",="",="",="(0.16)",="",="",="(0.22)"

="SVF # Flickor # Ingen",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="SVF # Flickor # Kristen",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="SVF # Flickor # Muslim",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="SVF # Flickor # Annan",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="SVF # Pojkar # Ingen",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="SVF # Pojkar # Kristen",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="SVF # Pojkar # Muslim",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="SVF # Pojkar # Annan",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="Gen 2 # Flickor # Ingen",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="Gen 2 # Flickor # Kristen",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="Gen 2 # Flickor # Muslim",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="Gen 2 # Flickor # Annan",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="Gen 2 # Pojkar # Ingen",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="Gen 2 # Pojkar # Kristen",="",="",="-0.22",="",="",="-0.77***"
="",="",="",="(0.16)",="",="",="(0.27)"

="Gen 2 # Pojkar # Muslim",="",="",="-0.21",="",="",="-0.46"
="",="",="",="(0.22)",="",="",="(0.35)"

="Gen 2 # Pojkar # Annan",="",="",="0.18",="",="",="-0.89***"
="",="",="",="(0.23)",="",="",="(0.30)"

="Gen 1 # Flickor # Ingen",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="Gen 1 # Flickor # Kristen",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="Gen 1 # Flickor # Muslim",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="Gen 1 # Flickor # Annan",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="Gen 1 # Pojkar # Ingen",="",="",="0.00",="",="",="0.00"
="",="",="",="(.)",="",="",="(.)"

="Gen 1 # Pojkar # Kristen",="",="",="-0.15",="",="",="0.44"
="",="",="",="(0.19)",="",="",="(0.45)"

="Gen 1 # Pojkar # Muslim",="",="",="-0.24",="",="",="0.54"
="",="",="",="(0.23)",="",="",="(0.47)"

="Gen 1 # Pojkar # Annan",="",="",="0.09",="",="",="0.25"
="",="",="",="(0.22)",="",="",="(0.43)"

="Constant",="0.25***",="0.25***",="0.26***",="0.20***",="0.19***",="0.19***"
="",="(0.02)",="(0.03)",="(0.03)",="(0.04)",="(0.04)",="(0.05)"

="Observations",="3976",="3976",="3976",="732",="732",="732"
="R-squared",="0.016",="0.015",="0.019",="0.056",="0.046",="0.080"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
