"NVS Europa","Inte alls viktig",.1768534,-.1090461,.462753
"NVS Europa","Inte så viktig",.2515108,-.0800177,.5830393
"NVS Europa","Ganska viktig",.3341812,.0844036,.5839589
"NVS Europa","Mycket viktig",.2374545,.0870149,.3878941
"Östeuropa","Inte alls viktig",.0515373,.0233035,.0797711
"Östeuropa","Inte så viktig",.1686613,.1155528,.2217698
"Östeuropa","Ganska viktig",.4303828,.3414815,.5192842
"Östeuropa","Mycket viktig",.3494186,.257133,.4417041
"MENA+","Inte alls viktig",.0261558,.0083205,.0439911
"MENA+","Inte så viktig",.0861289,.0565171,.1157408
"MENA+","Ganska viktig",.2979144,.2364106,.3594182
"MENA+","Mycket viktig",.5898008,.5246772,.6549246
"VSÖ Afrika","Inte alls viktig",.012576,-.0040146,.0291665
"VSÖ Afrika","Inte så viktig",.0787978,.0151199,.1424757
"VSÖ Afrika","Ganska viktig",.1883759,.0960605,.2806914
"VSÖ Afrika","Mycket viktig",.7202502,.6149039,.8255966
"Asien","Inte alls viktig",.0357105,-.034877,.1062981
"Asien","Inte så viktig",.3361514,.1680887,.5042142
"Asien","Ganska viktig",.4126358,.231728,.5935435
"Asien","Mycket viktig",.2155022,.1036278,.3273767
