"Svenskatest","NVS Europa",60.55591,57.36739,63.74443
"Svenskatest","Östeuropa",54.53949,52.38467,56.69431
"Svenskatest","MENA+",52.081,50.35942,53.80259
"Svenskatest","VSÖ Afrika",52.05695,48.02562,56.08829
"Svenskatest","Asien",57.30994,52.89127,61.72862
"Självskattad svenska","NVS Europa",85.42162,78.63157,92.21166
"Självskattad svenska","Östeuropa",87.16241,84.89137,89.43344
"Självskattad svenska","MENA+",82.63976,80.49966,84.77986
"Självskattad svenska","VSÖ Afrika",82.49741,79.23274,85.76208
"Självskattad svenska","Asien",79.14735,74.53505,83.75964
